showing info http://nltk.github.com/nltk_data/
Kate ,  PERSON
Middleton ,  PERSON
William ,  PERSON
Wardrobe ,  PERSON
Kate ,  ORGANIZATION
Duchess ,  ORGANIZATION
Cambridge ,  PERSON
Alongside ,  PERSON
William ,  PERSON
Singapore ,  GPE
British ,  GPE
Hallels ,  GPE
Kate ,  PERSON
Prince ,  PERSON
Daily ,  ORGANIZATION
William ,  PERSON
William ,  PERSON
Tom ,  PERSON
Williams ,  GPE
British ,  GPE
Daily ,  ORGANIZATION
William ,  PERSON
Kate ,  PERSON
Celeb ,  PERSON
Hollywood ,  ORGANIZATION
Kates ,  PERSON
Thanks ,  GPE
Queen ,  ORGANIZATION
Camilla ,  PERSON
Kates ,  PERSON
Queen ,  ORGANIZATION
Camilla ,  PERSON
English ,  GPE
Kate ,  ORGANIZATION
Kate ,  ORGANIZATION
Jennifer ,  PERSON
Lawrence ,  ORGANIZATION
Kate ,  ORGANIZATION
Comment ,  ORGANIZATION
NewsGetty ,  ORGANIZATION
VOTE ,  ORGANIZATION
Jennifer ,  PERSON
Lawrence ,  ORGANIZATION
ELLE ,  ORGANIZATION
Hollywood ,  GPE
Four ,  ORGANIZATION
Oscar ,  PERSON
Renta ,  PERSON
Kate ,  PERSON
Middletons ,  ORGANIZATION
Kate ,  PERSON
Wildlife ,  PERSON
Natural ,  ORGANIZATION
Kate ,  GPE
Selena ,  PERSON
Vancouver ,  GPE
Rogers ,  ORGANIZATION
Disney ,  ORGANIZATION
Selena ,  PERSON
Check ,  PERSON
Khloe ,  PERSON
Kylie ,  PERSON
Christopher ,  PERSON
Comment ,  ORGANIZATION
Instagram ,  PERSON
Sisters ,  ORGANIZATION
Kylie ,  PERSON
Khloe ,  PERSON
Kylie ,  PERSON
Khloe ,  PERSON
Kim ,  PERSON
Tao ,  ORGANIZATION
Las ,  GPE
Khloe ,  PERSON
Kylie ,  PERSON
Jenner ,  PERSON
Khloe ,  PERSON
Regardless ,  GPE
Khloe ,  PERSON
Kylie ,  PERSON
Kardashians ,  ORGANIZATION
Broke ,  PERSON
Broke ,  PERSON
Khloe ,  PERSON
Kylie ,  PERSON
Caroline ,  PERSON
Max ,  PERSON
Kim ,  PERSON
Kamber ,  GPE
Klondike ,  PERSON
Krispy ,  PERSON
Kreme ,  PERSON
HollywoodLifers ,  ORGANIZATION
Chris ,  PERSON
Truth ,  ORGANIZATION
Emily ,  PERSON
Kylie ,  PERSON
Truth ,  ORGANIZATION
Photos ,  PERSON
Paris ,  GPE
Tyga ,  PERSON
HollywoodLifecom ,  ORGANIZATION
Kylie ,  PERSON
Tyga ,  PERSON
Bordeaux ,  GPE
France ,  GPE
Tyga ,  GPE
Kylie ,  PERSON
HollywoodLifecom ,  ORGANIZATION
Tyga ,  PERSON
Kylie ,  PERSON
Madonna ,  PERSON
Parisian ,  GPE
Justin ,  PERSON
Brutal ,  ORGANIZATION
Kylie ,  PERSON
Vote ,  PERSON
View ,  ORGANIZATION
Kris ,  PERSON
Blac ,  PERSON
Kim ,  ORGANIZATION
Kylie ,  GPE
Tyga ,  GPE
Kylie ,  PERSON
Bruce ,  PERSON
Kris ,  GPE
Tyga ,  PERSON
Kylie ,  PERSON
Kylie ,  PERSON
Bruce ,  PERSON
Kris ,  GPE
Bruce ,  PERSON
Editor ,  GPE
Bonnie ,  PERSON
Senior ,  ORGANIZATION
Elizabeth ,  PERSON
HollywoodLifers ,  ORGANIZATION
Longeretta ,  ORGANIZATION
Kendall ,  PERSON
Getty ,  PERSON
Photos ,  PERSON
Kendall ,  PERSON
Americas ,  ORGANIZATION
HSN ,  ORGANIZATION
HollywoodLifecom ,  ORGANIZATION
Kendall ,  PERSON
Tyra ,  PERSON
Kendall ,  PERSON
Kendall ,  PERSON
Tyra ,  PERSON
Tyra ,  PERSON
Banks ,  PERSON
Tyra ,  PERSON
Kendalls ,  GPE
HollywoodLifecom ,  ORGANIZATION
Ive ,  PERSON
Kim ,  PERSON
Kardashian ,  ORGANIZATION
Broke ,  PERSON
Kendall ,  PERSON
Karlie ,  PERSON
Cara ,  PERSON
Kendall ,  PERSON
Kendall ,  PERSON
Tyra ,  PERSON
Kendall ,  GPE
Gigi ,  PERSON
Kendalls ,  PERSON
HollywoodLifecom ,  ORGANIZATION
Kendall ,  PERSON
Paris ,  GPE
Kendall ,  PERSON
Gigi ,  PERSON
American ,  ORGANIZATION
HollywoodLifers ,  ORGANIZATION
Kendall ,  PERSON
Dory ,  PERSON

